#unit_id,unit_name,display_name,aliases,variable_name
100,%,%,%,
200,kg,kg,kg|kilograms,weight
201,g,g,g|grams,
202,mg,mg,mg,
203,lb,lb,pound|pounds|lb|lbs,weight
300,msec,msec,milliseconds|msec|msecs|ms,
301,sec,sec,sec|seconds,
302,hour,hour,hour|h,
303,day,day,day*,
304,week,week,week*,
305,month,month,month*,
306,year,year,year*|y,
400,ml/min,ml/min,ml/min|ml/mn,
401,g/day,g/day,g/day,
402,mg/day,mg/day,mg/day,
403,g/dl,g/dl,g/dl|grams/deciliter,
404,ng/dl,ng/dl,ng/dl,
405,ng/ml,ng/ml,ng/ml,
406,g/l,g/l,g/l|grams/liter,
407,mg/dl,mg/dl,mg/dl,
408,m/ul,m/ul,m/ul|m/µl,
409,k/ul,k/ul,k/ul|k/µl,
410,cells/ul,cells/ul,cells/ul|cells/µl|cells/micro l|cells/microliter|/ul|/µl|mm3|mm^3|mmc|/mm|/mcl,
411,cells/ml,cells/ml,cells/ml|/ml,
412,umol/l,umol/l,umol/l|µmol/l,
413,mmol/l,mmol/l,mmol/l,
414,ml/min/1.73_m2,ml/min/1.73 m2,ml/min/1|ml/min/m2,
415,meq/l,mEq/l,meq/l,
416,cells/l,cells/l,cells/l|/l,
417,mg/l,mg/l,mg/l,
500,mm,mm,mm,
501,cm,cm,cm,
502,m,m,m,
503,inches,inches,inches|in,
504,mps_disc_area,MPS disc area,mps disc area*,
600,mmhg,mmhg,mmhg|mm hg,
601,cmh2o,cmh2o,cmh2o|cmh20,
602,kg/m2,kg/m2,kg/m2|kg/m^2|kg/m²|kilogram per meter square*|kilograms per meter square*|weight/height^2,bmi
603,uln,ULN,uln|upper limit of normal|upper limits of normal|institutional upper limit of normal|institutional upper limits of normal|normal upper limit|laboratory normal,
604,lln,LLN,lln|lower limit of normal|lower limits of normal|institutional lower limit of normal|institutional lower limits of normal,
605,iu/l,IU/L,iu/l,
700,c,C,°c|c,
701,f,F,°f|f,
800,breaths/min,breaths/min,breaths/min|breaths per min,respiratory_rate
801,beats/min,beats/min,beats/min|beats per min,heart_rate
802,/min,/min,/min,